,Title,URL,Album,InAnAlbum,Lyrics
5,All the Shine,https://genius.com/Childish-gambino-all-the-shine-lyrics,Camp,True,"What the fuck do y’all niggas really want?
I went with realness instead
But all the ""real niggas"" I know either crazy or dead
Yeah, I dropped the free EP for these other kids to feel a lot
Niggas keep asking on whether this dude’s for real or not
I’m not trying to come hard, I’m trying to come me
That’s why these older songs that I used to make I’d release free
What’s the point of rap if you can’t be yourself, huh?
That’s why I come first like my cell phone
I’m a role model, I am not these other guys
I rap about my dick and talk about what girls is fly
I know it’s dumb, that’s the fucking reason I’m doing it
So why does everyone have a problem with talking stupid shit?
Or is it real shit?
‘Cause sometimes that stupid shit is real shit
Like when you make out with your best friend’s baby sis
You know the one with short hair you used to babysit?
You with a different girl like each and every fucking night
And kiss her while she’s sleeping and sneak out the front to catch a flight
That’s not life, dude
It's just making up for fucks I missed in high school
I keep it wrapped until I meet the right one
’Cause I ain’t Mumford, I ain’t tryin’ to have sons
All I wanted was some more like Ashton
I ain’t the coolest but I know I got passion
I got passion!
I really wanna do her right and it doesn’t matter
We’ve got all the shine we need to find
I really wanna do her right and it doesn’t matter
We’ve got all the shine we need to find
“Baby, I’m on the edge” She said, “Why you gotta act so strange?”
I said, “Baby, I’m on the edge.” She said, “Why you gotta act so strange?”
I said, “Baby, I’m on the edge.” She said, “Why you gotta act so strange?”
I said, “Baby, I’m on edge.” Said, “Why you gotta act so strange?”
Am I serious? I don’t even know
Are you hearing this? This shit is laughable
I ain’t trying, I’m doing, these other rappers are foolish
I got fame, my A&R’s a computer
Is there room in the game for a lame who rhymes?
Who wears short shorts and makes jokes sometimes?
My nigga like, “I’d get you MTV if I could, man
But Pitchfork only likes rappers who crazy or hood, man”
So, I guess we gon' see
I ain’t Curren$y, but if there ain’t money in my name please murder me
Sometimes I feel like I ain't supposed to be here
Sometimes I wake up, I don't want to be here
My mom loves to text me Psalm verses
She don’t look at me like I’m the same person
I used to be the sweet one, but things change
And I don’t want her missing a son like Bon’s last name
And all my uncles alcoholics, shame on me
I drink whiskey till I’m grounded, no TV
I wanna go inside the club with no gold piece
And walk in with no I.D. and No I.D
No matter how far the hood seems
We all still got hood dreams
I always wanted to get picked on the cool team
But alone is exactly how I should be
I really wanna do her right and it doesn’t matter
We’ve got all the shine we need to find
I really wanna do her right and it doesn’t matter
We’ve got all the shine we need to find
I really wanna do her right and it doesn’t matter
We’ve got all the shine we need to find
I really wanna do her right and it doesn’t matter
We’ve got all the shine we need to find
We need to find
We need to find"
7,All Yall,https://genius.com/Childish-gambino-all-yall-lyrics,STN MTN / Kauai,True,"Now it's the B to the izzo
You know what it is I'mma stunt on the d-low
Watch me get it in, spin in the seat, black as can be
Rolling it up, giving a fuck, like I'm a slut
""Bino that's my baby what he doin out at the club?""
Fuck about your dress code, my dress code is I got a big bank roll
I think so, time to give these niggas something else
Island in the summer best believe that shit ain't common wealth
Smile on her face best believe she wearing nothing else
Watch the sun set that's a feeling that she never felt
We were born free, that's my God given
How a god living? Fantastic, fans spazz when they see ya man passing
I'm in the Aston Martin, unforgivable blackness beg your pardon
On my Jack Johnson nigga, all my shows sell tix like Boston nigga
Put this on at the cook out, let me see you shmoney
Old school on the XM got your Auntie singing ""Hola Hola Ayy""
Hit the dream too hard, I'm the new young god
This the new mixtape, but it's still the same game
How you gon be the don, when Don half my name?
How you gon be the G.O.A.T, when we are not the same?
I be feeling all this money but motherfuck the fame
It's the young Bino, I'm in your bae like Oakland
In my bed out of breath I never been this open
If you niggas can't hear me it's the weed I'm smoking
When I opened up the door I had the manager coughing like
""The hotels charging you a maintenance fee""
Gave that nigga 2 stacks and said I'm here all week
Let me roll OG, let me talk my shit
How you hotter than me? You ain't got no hits
You just got a hot feature
Bare sole on the track so my feet hurt
Do some research, know my origin
I'm the new black, fuck oranges
Yeah, that's that nigga that yall love to hate
Redbone like golden gate
Childish y'all know the name, getting hate from Charlemagnes
Last year things done changed, I was thinking bout killing y'all
I was working all night long, white bitches like King Kong
Getting money my theme song, do whatever I want
Fuck your clique do what I want, fuck your bitch do what I want
Here's some shit you niggas didn't know
Probably wrote your nigga verse
Probably wrote your nigga video
High as fuck on Arsenio
Chosen, now they show me my respect nigga
Frozen, Disney movie round his neck nigga
I told ya, I'm the best right now
From Atlanta where them niggas in your chest like ""blow""
Royalty equal sign black philosophers
Became a top 5 cause nobody else was stopping us
They want me Hopsin but I'm popping and getting confident
God forbid we give him props for the job he did
Man his knob need some slobbering
I mean, fuck, do you want more?
I'm killing these niggas and still on tour
Fuck is y'all for?
This is for all of y'all
One day everyone's falling off
So right now we should all ball out
Life's too short to not all out
This is for all of y'all
One day everyone's falling off
So right now we should all ball out
Life's too short to not all out
I don't know what I really need
But I'd rather be smoking weed
I don't know what I really need, yeah
But I'd rather be smoking weed"
10,American Royalty,https://genius.com/Childish-gambino-american-royalty-lyrics,Royalty,True,"Digital, Childish Gambino
Mixtape demonstrations
This Oxycontin carbon monox' and toxic concoction
Collapse your brain cells, they swell from lack of oxygen
Leave the opposition stuck, without a pot to piss in
Hockin', spitting up blood, shark by sharp precision
Dart incision, darkness imparts your vision
Sparks infliction, I'm a mad magician
Verbal plasma, verbal scatter, words that shatter
Every atom in your body, now you're anti-matter
Ripping through the data, checked into the doctor
Took his rhyme splatter, cause my mind's faster
You falling down to ground, while I climb the ladder
Too much garbage in your gallbladder, fall flatter
On your face, now you carry by the pall-bearer
Or wear the black suit, eyes all teared up
Oh no, when your ho make a boss lit up
We in the rib with a smirk nigga, all geared up
Childish Gambino or Bobby Digi'lino on the tracks
We breaking more backs that Sammartino, Bruno
We saw more baselines than Juno
Change more law in New York than Mr. Cuomo
Godfather novels I write like Mario Puzo
Master time fix the clocks like I'm Hugo
Hold the weight like nine sumos
Bust shots like John Lugo
You know how the Wu go
Look sharp, homie give yourself a facelift
High brow, eyebrows on a spaceship
Take sips of that Ace of Spades-es
Saving all my money just to waste on a bracelet
Can't see them haters, we don't give a fuck though
Charge it to the game, keep a lame so cutthroat
Never slip a fast one, the game is so in front of me
Travel 'round the globe, spend and make 'bout a 100 G's
Pack them crowds up, boss like Bowser
Deep pocket poetry, my custom trousers
Thank God they found us, the game was starvin'
I'm clean and concrete, you ass and Charmin
Bobby Digital, do you really think these niggas know shit?
Shopping in Manhattan and I ran into my old chick
Pride is a bitch, I am not a grown up
Tweetin' when I'm 70, these half-dead followers
She look like she Spelman, secretly she Hofstra
Put her in the club, all she wanna hear is Waka
Put her in the crib, all she wanna hear is Waka
She jerk when I move like her old boy popped her
Home is that Outkast, soul like I'm Phonte
Old-school J's like Beyoncé's fiancé
Back on my dumb shit, nigga we the stupidest
Gave them niggas real shit, don't know what to do with it
I did what I did man, did you really see it though?
'Bino hard and fast, niggas Sweet'N Low
American Royalty, family loyalty
We cream of the crop why the fuck would we stop?
She had two sons: both of 'em good grades
Both of 'em rap songs
Where did she go wrong?
Nowhere mama, we just go where the money at
Black Kennedy, where the fuck you niggas at?"
12,Arrangement,https://genius.com/Childish-gambino-arrangement-lyrics,Royalty,True,"This is Royalty
Bang bang
I got yo bitch layin' naked 'cross the bed, no rosary
Stackin' up this bread like a baker, Josephine
She wanna refill, so I get that ho a bean
Niggas on the sideline yellin' ""Who the fuck is he?""
Bitch I'm @Gonage, you can call me Cody B
Wardrobe overseas, passports all over me
White leather seats lookin' like coca leaf
Every time I crank up the woofer sittin' on a key
I'm Gucci buckled up, house note on my feet
Linen button-up like I'm walkin' round on the beach
Blind hoes notice me in my Range Rover Jeep
So they wanna come and talk to me like Jodeci
Smokin' in the morning, and when I go to sleep
Blowin' presidential man, I think they 'about to vote for me
Any event we party like a frat, no toga sheet
If money ain't the convo, they ain't even 'posed to speak
If you ain't talkin' cash, don't say shit
In the VIP we champagne-spray shit
I'm in the club lookin' like a bank statement
If you talkin' cash, I can make arrangement
Walked in the club, ain't pay shit
Broke niggas hate, cause they ain't shit
I'm gettin' to the cash pockets on payment
If you talkin' money, I can make arrangement
Cody
Cody Bean Senior, pushin' mean ether
You don't know Childish? Nigga, me neither
Eastside Atlanta, flyest nigga in a Waffle House
If it ain't money, man, we ain't got shit to talk about
Kennedy compound, my 20-room house
So big my ex-girls ain't gotta move out
If you ain't talkin' cash, don't say shit
My bank account looking like when little kids break shit—""Oooh!""
If I'm breathin' I can handle it
Watching all my dreams get together like an ampersand
Blueprint the new shit, mixtape management
Show these dummies how to do it, all I want's my ten percent
Porsche brand new, passed 'em a cool hundred
Yeah my girl 5'2"", even her growth stunted
It's the nigga y'all knew back when I flipped meal cards
Now my meals free when I don't taste the fifth star
We can make arrangements, old money Cambridge
Meetin' with the moguls, make 'em richer and they owe you
It's the kid you used to talk about, I'm watchin' people get up on it
On Worldstar and I ain't have to have a nigga moment
Flow's always cold, keep the whole soul anemic
Never left that hard shit, a nigga's always constipated
Got the change for my cousin on froze, no more movin' weight
Flossin' hard, ice king, no more Finn and Jake
Love or hate you gotta say the hype is something handsome
As long as all of 'em bloggin' I'm living Richard Branson
Shit talk is still talk, haters are my billboard
Used to take the Q home, now I hang with ScHoolboy
So iconic, Black Kennedy this shit
Man I'm so ironic, man this ratchet need a fix
Droppin' new shit and the haters get the splashback
Don't be surprised when he ask you where the cash at
If you ain't talkin' cash, don't say shit
In the VIP we champagne-spray shit
I'm in the club lookin' like a bank statement
If you talkin' cash, I can make arrangement
Walked in the club, ain't pay shit
Broke niggas hate, cause they ain't shit
I'm gettin' to the cash pockets on payment
If you talkin' money, I can make arrangement
Cody"
15,AssShots (Remix),https://genius.com/Childish-gambino-assshots-remix-lyrics,STN MTN / Kauai,True,"]
Is it too much to ask for lyrics?
I mean it's 2014 man, c'mon really
You niggas could learn a lot by now
Watch this
Stone Mountain
Give a fuck about these haters man
I'm the flyest that there's ever been
I'm always reppin' Stone Mountain
You know my show is sold out
You know my smoke is so loud
And still about his business
Stay up out my business, flow so vicious
When niggas talkin' shit, shut they mouth, that's what this is
I walk up in the party, we took all the bitches
They love how I move, we might need a minute
God damn, Summer looking like son of Sam, I'm killin' niggas
Hang with models and a couple strippers
She love my music so I nutted in her
Damn I'm decent, Liam Neeson
I'm takin' over, you playing sober
Gassed up and you finished last
I'm crying nigga, that's tear gas
Woooh, now I'm flexing
Was that fire? Bitch you guessed it 
I bet you I can make that ass hot
C'mon bae, drop it like a ass shot
Say my sixteen will make that ass hot
Song done, drop it like a ass shot
Boy stuntin' got they ass hot
Go on nigga, drop 'em like a ass shot
Jump on this beat and get they ass hot
Go on girl, drop it like a ass shot
I am, the prince, two cups, always
Our team, got money, we stunt hard, so don't hate
Fall off, no way, we run it, it's too late
We smoke sour, call that flowers
I just blew, a bouquet
My girl, so sweet, like Crème brûlée
But still, she that hood, like red Kool-Aid
We on top, toupée, I got hits, like touché
I just did Rome in one day
I just flew out to Croat-ia
I'm independent man and still doin' major
Young King so flashy got me lookin' like lazers
Atlanta housewife I can make ya like Phaedra
So let's play my, I'mma play ya
Get bands, then head to la playa
My niggas is bias
My brothers the owner, fuck with 'em get higher
G-lover spit fire, that flame is saliva
We're riders that got Nick Cannon's now
Make 'em drop you like Mariah, wassup?
I bet you I can make that ass hot
C'mon bae, drop it like a ass shot
Say my sixteen will make that ass hot
Song done, drop it like a ass shot
Boy stuntin' got they ass hot
Go on nigga, drop 'em like a ass shot
Jump on this beat and get they ass hot
Go on girl, drop it like a ass shot
Start her off with gin and tonic, mine's a double
Out in Vegas fool, you know I'm bettin' double
Double your car note, double your mama rent
Ain't shit but house money, I ain't spent a cent
Mo' money mo' problems, yeah that's official
I just throw cash at it, that's my issue, it's hard
So I feed my boo boo hard that moo moo bags until she...
If she need mo', then girl I miss you, bye
But ain't no lookin' back
Cause I know it's a salt pile 
I'm goin' Chevy with metallic fuckin' gun style
No door handle, she high tryna figure how
While my auto mobile looks like Girls Gone Wild
That's top off, nigga drop offs
Slidin' dirty with yo' dame
OG sativa baby, watch ahead for that air plane
Fuck with my money, and I'm at your house like the mail came
You meet the Swank lion, beast mode, untamed
I bet you I can make that ass hot
C'mon bae, drop it like a ass shot
Say my sixteen will make that ass hot
Song done, drop it like a ass shot
Boy stuntin' got they ass hot
Go on nigga, drop 'em like a ass shot
Jump on this beat and get they ass hot
Go on girl, drop it like a ass shot
Big homie have you seen her
She got the Dobrev, all white Nina
Packed like Serena, or maybe Trina
Shit I don't know, they both got ass
So of course he came to give you all these courses
And you can't ignore 'em, cause these hoes adore 'em
Words hot, don't slur 'em
I just speak up, so please ho, keep up
Please ho, keep up
Ok, ok, ok, she ain't getting money, no way
I met her on a Monday, but I fucked her back to Sunday
I told her she my Brandy, I'm her one and only Wanya
Till she drove off the driveway in her '97 Hyundai, bitch"
17,Baby Boy,https://genius.com/Childish-gambino-baby-boy-lyrics,"“Awaken, My Love!”",True,"Little hands, little feet
Tiny heart, tiny beat
Oh, thinkin' 'bout the time we spent falling in love together
I don't wanna leave you, I don't wanna deceive you
But oh, when mama cries from daddy's lies
Oh my, please don't take him away, mama
Don't take him away, oh
'Cause I've had my time, oh!
Don't take my baby boy
Don't take my pride and joy
I hope I stay close, I hope I stay close
All the pain, all the tears
Many nights, many years
This love for me is fading
You waited, but I never came home to you
I've never lied about us
We were never supposed to be together
When you see me with some other one
And they know your son
Oh, please don't take him away
You say you won't but you will, yes you will
'Cause I've had my time, oh!
Don't take my baby boy
Don't take my pride and joy
I hope I stay close, I hope I stay close
There was a time before you
And there will be a time after you
Though these bodies are not our own
Walk tall, little one, walk tall
Let me hold you, let me hold you
Can I hold you?"
19,Backpackers,https://genius.com/Childish-gambino-backpackers-lyrics,Camp,True,"Alright it's Childish baby, Mr. Talk-About-His-Dick-Again
Nerdy-ass black kid, whatever, man, I'm sick of him
That well-spoken token, who ain't been heard
The only white rapper who's allowed to say the N-word
I buy a bunch of 'em and put it on my black card
Now I got some street cred, use it 'til it's maxed out
I got a girl on my arm, dude, show respect
Something crazy and Asian, Virginia Tech
She too fine, I do dimes
If not that, I'm walking out with two fives
Change my ID for the cops, it's not enough yet
Black male in short shorts, I'm double suspect
Ballin' since '83, half of 'em say he gay
Maybe that's the reason I like Lady What-babies-say
I'm a problem, I'm lame as fuck homie
But I rap like these niggas ain't got shit on me
Fuck the cool kids, not Chuck Inglish
But people who think that hatin on me makes them distinguished
Like, ""What is this nigga doin? Rap is for real blacks
I hate that fucking faggot, man, he think that we feel that""
Or ""I wrote on rape culture my junior year at Brown
So I'm allowed to say what all his raps are about""
You better shut your mouth before I fuck it
You really hate my lyrics now or Kid Cudi's? Nigga
Runnin this thang, money insane
Busy getting brain like Krang
What, what's my name?
In the woods, got these niggas usin' Mapquest
Man, fuck a backpacker
Niggas with OCD, N-W-O
All white like my clothes, CW shows
Nigga got signed, it's an anomaly
No cosign: trigonometry
Man these niggas hate me
""Man, fuck you nigga...fuck you nigga!""
They real black like won't show up on your camera phone
They real black like turn the flash on your camera on
They real black take shit, turn it into gold
I'm real black I survive when the pressure on
Upper echelon, bit my lip when I'm kissin' her
Clash of the Titans, baby your tits is titular
Listenin to some Kiss FM, she wanna hear Nicki Minaj
""Super Bass,"" super face inside a garage
It's not a massage, spa rap with a happy ending
Old niggas wanna assassinate me
It's a shame, these kids was supposed to save rap
Fuck that, boat shoes and a wave cap
He don't give back, how the fuck a nigga say that?
Summer in November I gave everyone a Maybach
Comin' on that payback, comin' on that mace took
I'm comin' on that real shit, I'm comin' on her Facebook
Fuck a backpacker with a rhino's dick
I do me like a gyno chick, uh
Runnin this thang, money insane
Busy getting brain like Krang
What, what's my name?
In the woods, got these niggas usin' Mapquest
Man, fuck these backpackers
Fuck these backpackers
Fuck these backpackers
Fuck these backpackers"
20,Be Alone,https://genius.com/Childish-gambino-be-alone-lyrics,EP,True,"I don’t wanna be alone, I don’t wanna be alone
I don’t wanna be alone
I don’t wanna be alone, I don’t wanna be alone
I don’t wanna be alone
‘Cause ya know, somewhere inside, I cannot find
The feeling I got from you
No, somewhere inside, I cannot find
The feeling I got from you, oh
Hard for a Pitchfork, soft for a Roc-a-Fella
Music was my side chick, but now we’re moving in together
Always felt misunderstood, I guess I have to tolerate
My swag Jehovah Witness, dude, it never take a holiday
APC jeans, brown leather jacket on
Kitsuné cable knit, cardigan from Rag & Bone
Thick Filipino chick, homemade bracelet
Her booty make her just a rapper, she ain’t gotta say shit
I’m someone they admire
Set the game ablaze, I’m an arcade fire
Laughed at my rise like my motion was funny
Yes, ashy to classy, my lotion is money
The ride is easy when the dollar’s there to grease the wheels
Now everybody tell me what to do and how to feel
It seems the more I try to connect with the world
I am feeling more alone than I ever have felt before
I wanna pick up the phone, ask my dad how to handle it
But what will happen when my dad’s not there to answer it?
I try to clear my mind of thoughts that only slow me down
Like when these niggas called me ""faggot"" and we homies now
But we are not homies, I just keep you around
‘Cause all your talkin’ is the noise I need to kill the sound
Of all these voices tellin’ me no one can help me out
We are alone, I’m just the only one to figure out
I don’t wanna be alone, I don’t wanna be alone
I don’t wanna be alone
I don’t wanna be alone, I don’t wanna be alone
I don’t wanna be alone
‘Cause ya know, somewhere inside, I cannot find
The feeling I got from you
No, somewhere inside, I cannot find
The feeling I got from you, oh
""You are the bestest, I will obey you""
These words I wrote for you when you were fuckin’ other dudes
The only thing I need from you now is some solitude
Actions over words, ""girls will be girls,"" that’s all it proves
I used to be this guy sittin’ with an open heart
Now my computer screen’s the only place I feel a spark
I don’t fuck with fake bitches
Except for when I fuck with fake bitches
Canon 5D to take pictures
Of these girls who wouldn’t talk to me a year ago
49er chick askin’ for money, she get zero, though
Here I go again, talkin’ money, women and clothes and cars, right?
You could switch all of my words out with Plies’, right?
People sayin’ we’re the same, please, come from under me
We are just some rappers, got no luxury of subtlety
No subjects when we’re rappin’, we say it like we hear it
I put it on a track and I hope you get the spirit ‘cause
I don’t wanna be alone, I don’t wanna be alone
I don’t wanna be alone
I don’t wanna be alone, I don’t wanna be alone
I don’t wanna be alone
‘Cause ya know, somewhere inside, I cannot find
The feeling I got from you
No, somewhere inside, I cannot find
The feeling I got from you"
33,Black Faces,https://genius.com/Childish-gambino-black-faces-lyrics,Royalty,True,"Turn that beat up for me
Really everything, like the headphones
Yeah, yeah, a little bit louder
No punch, you know that mean that we workin' hard
Look, young rich nigga shit, pops was an immigrant
Lifestyle ill legit, but know I own businesses
Started out the trunk, ended up at the dealership
All gold Rollie, black face no blemishes
Legend in my city cause I grind so vigorous
If I show my face west of Texas, that's a big event
Gotta pay me twenty cents just to hear me vent
I'm really out here on some shit, you should take a flick
Ballin' on my own ten toes, so the difference is
I call shots never ask for permission, man
I got a lot of big plans in my vision and
I ain't failed yet, 'bout a dollar hell yes
I'm a problem-filled test, it's only getting worse
I swear I'm getting money, I just hope you gettin' yours
I'm killin' niggas solo so you know I'm gettin' more
Now that young Gambino on the chorus, go
This is for that real shit, this is for that East side
This is for my bad girls, this is for them good guys
This is for my grandma, this is for that Westside
This is for them niggas talkin' shit on a website
Damn I feel good, you ain't feelin' nothin'
This is for my niggas who be livin' dime a dozen
Bino got that good shit, Nipsey got them aces
On some young rich shit, Kennedys with black faces
Yeah, black faces
My Rollie so racist, all black faces
Obama on that million dollar bill, black faces
Yeah, nigga, black faces
Look, yo I got this
Yo, turn, turn it up a little
Ay, here we go, okay
League of my own, swag Geena Davis
Only rapper make 100k on your playlist
Niggas talk on Twitter, but in life, they don't say shit
My Rollie so racist, all black faces
We the new facet, kill 'em like Jason
Grind in my sleep man a nigga need braces
Wonder what you feelin' like, used to be the nervous type
They ain't mention Bino? Man that shit must be on purpose, right?
Hostile, nigga my style
Kind of flow to paint a picture, Norman Rockwell
I don't eat pasta, everything is low-carb
I don't fly coach now, say I fly Goyard
Leave a face covered in that coast guard
Metaphor Mozart, all we do is tell 'em the truth
M Fox to my people on some family ties
Magazines got black faces when somebody dies
I mean look at Donna Summers, she was tryin' to survive
People wrestle over petty cash
When we should be really cryin' over that one percent
Like we tipped a milk glass
Fuck y'all, I'ma let my grandkids ball
Look to the future, these dudes so last week
See me stuntin' so Conde Nasty
Me and Nipsey on some grown shit, no rent
Own shit, so Jim Crow shit, black faces
Ay, nigga, black faces
Black faces
That's royalty, nigga"
36,Bonfire,https://genius.com/Childish-gambino-bonfire-lyrics,Camp,True,"Okay, it's Childish Gambino, homegirl drop it like the NASDAQ
Move white girls like there’s coke up my asscrack
Move black girls 'cause, man, fuck it, I’ll do either
I love pussy, I love bitches, dude, I should be runnin’ PETA
In Adidas, with some short shorts, B-O-O all over me
My green is where it's supposed to be, your green is in my grocery
This Asian dude, I stole his girl, and now he got that Kogi beef
My dick is like an accent mark, it’s all about the over Es
Hot like a parked car
I sound weird, like ""nigga"" with a hard 'R'
Fly like the logo on my cousin’s 440
Eatin’ Oreos like these white girls that blow me
Vodka for my ladies, whiskey for a grown man
Hangin’ in the islands, lookin’ for Earl like Toejam
I made the beat retarded, so I’m callin’ it a slow jam
Butcher and I know it, man, kill beef, go ham
These rappers are afraid of him
Cause I’m a beast, bitch, ""grrr"" - Invader Zim
Gambino is a call girl: fuck you, pay me
Brand new whip for these niggas like slavery
Told me I was awful and that shit did not faze me
Tell me how I suck again, my memory is hazy
“You're my favorite rapper now!” Yeah, dude, I better be
Or you can fuckin’ kiss my ass: Human Centipede
You wanna see my girl? I ain’t that dumb
You wanna see my girl? Check Maxim
""Man, why does every black actor gotta rap some?”
I don’t know, all I know is I’m the best one
It’s a bonfire, turn the lights out
I’m burnin’ everything you muthafuckas talk about
It’s a bonfire, turn the lights out
I’m burnin’ everything you muthafuckas talk about
You know these rapper dudes talk shit, start killin’
Fuck that, got goons like an archvillain
I’m from the South, ain’t got no accent, don’t know why
So this rap is child’s play, I do my name like Princess Di
Yeah, they say they want the realness, rap about my real life
Told me I should just quit: “First of all, you talk white!
Second off, you talk like you haven't given up yet""
Rap's stepfather, yeah, you hate me but you will respect
I put in work, ask Ludwig
Put my soul on the track like shoes did
Played this for my cousin, now he can’t even think straight
Black and white music? Now, nigga, that’s a mixtape
Shoutout to my blerds, they represent the realness
Shoutout to Gambino Girls, my dick is in the building
I know you hate me cause your little cousin play me out
I like black girls who nerdy but when they dance they be sayin' ""Owwww""
I'm sorry for who followed me
Chillin’ with a Filipina, at your local Jollibee
Yeah, I’m in her ass like sodomy
So if you see my hand under the table, don’t bother me
I don't talk soft, that's that other guy
I’m screamin’ “What the fuck is up?” like I ain't seen the sky
The shit I’m doin’ this year? Insanity
Made the beat then murdered it: Casey Anthony
These rappers don’t know what to do
'Cause all I did was act me, like a Looney Tune
And I’ll give you all of me until there’s nothing left
I swear this summer will be summer Camp, bitch"
