,Title,URL,Album,InAnAlbum,Lyrics
0,100 Grandkids,https://genius.com/Mac-miller-100-grandkids-lyrics,GO:OD AM,True,"Woah-oh

Wow-wow-wow-wow

Wow-wow-wow

Wow-wow

Woah-oh

Wow-wow-wow-wow

Wow-wow-wow

Wow-wow

I

Made a promise to my mama that I'll bless her

With some grandkids, she can spoil 'em

Until then, I'm getting dollars, I'm just doing what I gotta

Can a man live? And it's all day, homie

I'm a God, give the whole squad a job, get 'em all paid

Came a long way from all-state, yeah, now we All-American

 Shit, we All-American, yeah 

I swear to God I put the hero in heroin, these flows kilos

I could sell snow to a ski slope

I could sell evil to the devil, nonbelievers to a temple

Shit, I could sell water to a speedboat

And these eyes is iconic

I went pro, made profit, now I keep some dead faces in my pocket

Gettin' faded, I been stoned all week

But what's a God without a little OD? Just a G

Twisting my weed, easing my mind

Why you worry about me? Stop tripping, I'm fine

Swear these bitches done lost it lately

You put the ho in honest baby, so complicated

And I may be a little arrogant, I'm aware of it

I know I know

I got a problem, I'ma take care of it, weight I'm carrying, gotta let it go

It won't hold me down no more

Made a promise to my mama that I'll bless her

With some grandkids, she can spoil 'em

Until then, I'm getting dollars, I'm just doing what I gotta

Can a man live? And it's all day, homie

I'm a God, give the whole squad a job, get 'em all paid

Came a long way from all-state, yeah, now we All-American

 Shit, we All-American 

We ain't goin'

Nowhere, we ain't

Goin' nowhere, we can't be

Stopped now, 'cause this rap shit's for life

We ain't goin'

Nowhere, we ain't

Goin' nowhere, we can't be

Stopped now, 'cause this rap shit's for life

Back then I had a dream

I'd get this money, man

I know my life would change

Just need a hundred grand

Back then I had a dream

I'd get this money, man

I know, my life would change

Just need a hundred grand

Yeah

Back when I first made a hundred grand

Yeah, back when I first made a...

Yeah

Back when I first made a hundred grand

Yeah

Yeah, back when I first made a hundred grand

Thought I was the shit

When I first made a hundred grand

Thought I was a king

When I first made a hundred grand

Couldn't tell me nuttin

When I first made a hundred grand

Made a hundred grand

Yeah, okay, back then they used to call me little

But now I'm ridin' something clean in a coat made of armadillo

They haven't got the memo, they sayin' I'm the shit though

Tryna make it complicated when this shit is simple 

Tell me what you wanna be, what your dreams is

A hundred G's in my jeans, I'm a genius

Sin everyday, someone save me please

And get schooled, homie, change degrees

I'm the plug, what you need though? I'm goin' beast mode

I keep a freak, even when she underwater she can deep throat 

I made a mil' before I paid a bill

Cause fools worried about a wave, I'm a Navy SEAL

Come with me, I can make your life change for real

Always had a dream of stuntin'

It ain't nothing unless we runnin' shit

Just a young motherfucker with a plan

Thought I was the man

Yeah, back when I first made a hundred grand

Thought I was the shit

When I first made a hundred grand

Thought I was a king

When I first made a hundred grand

Couldn't tell me nuttin

When I first made a hundred grand

Made a hundred grand

]

 Let me get some money

Let me, let me get some money

 Malcolm, can we go to mall?

I just need some shoes and my nails and then can we stop at Chipotle?

 Let me get some money

 Let me, let me get some money

 Let me get some money

Let me, let me get some money"
1,1 Threw 8,https://genius.com/Mac-miller-1-threw-8-lyrics,Macadelic,True,"Uh... 1 2 1 2...

Sometimes I see the uh

Sometimes I see the world for how fucked up it really is

I tell myself I'll be the one to make a change in it

I could die tonight, not make it to the sunrise

Then I couldn't heal the pain in it

I'm gettin' high to forget about the lows though

Get a pay check, spend it all on polo

Designer brands cover up my insecurities

Personally I ain't nothin' but an average Joe though

Now I'm dressin' so expensive, for no reason

Cold world we livin' in, it's below freezin'

I got a family, can't afford a coat

So I leave a little paper there before I go

Spend a thousand on a hotel, they poor and broke

Made me wonder who I'm prayin' to before the show

This a letter to whoever, I'm just tryna set you free

Remember love, if you can't, remember me

Dear people on earth after I die, what's the weather like?

1, 2, 3, 4, 5, 6, 7, 8, and I ain't perfect but I try

Hey, I wonder if I'll maybe get a second life

This time I'm a get it right

It's either God or the devil with these drugs I'm on

I don't know if we were meant to see it all like this

Still, plantin' seeds so my money long

Money addict, it's a habit that palms gon' itch

I wish we could just all get rich

Sometimes not havin' money is all I miss

And yet these hoes that roll up on my dick

The all American girl, that's just a blond head bitch

Am I supposed to have some thoughts like this?

Could we figure out what God might've miss?

It's funny that these questions never get an answer

Life a bitch sometimes you got to reprimand her

Never understand her, why should I even try?

Live forever then you never feel the need to die

This a letter, open it to set you free

Remember love and remember me

Dear people on earth after I die, what's the weather like?

1, 2, 3, 4, 5, 6, 7, 8, and I ain't perfect but I try

Hey, I wonder if I'll maybe get a second life

This time I'm a get it right

What does it mean to be a sensation? Do you have to be sensational?

And how you know you made it?

When you're with Killa Cam, watchin' Paid in Full

I never had good grades in school but, shock the world is what I came to do

I got a song I wanna play for you, so can you sing that back to me?

What does it mean to be a sensation? Do you have to be sensational?

And how you know you made it?

When you're with Killa Cam, watchin' Paid in Full

I never had good grades in school but, shock the world is what I came to do

I got a song I wanna play for you, so can you sing that back to me?"
2,2009,https://genius.com/Mac-miller-2009-lyrics,Swimming,True,"Yeah

Eric

Well

I don't need to lie no more

Nowadays all I do is shine, take a breath and ease my mind

And she don't cry no more

She tell me that I get her high 'cause an angel's s'posed to fly, and...

I ain't askin' ""Why?"" no more

Oh, no, I take it if it's mine, I don't stay inside the lines

It ain't 2009 no more

Yeah, I know what's behind that door

Yeah, okay you gotta jump in to swim

Well, the light was dim in this life of sin

Now every day I wake up and breathe

I don't have it all but that's all right with me

Take it nice and easy, took a flight to see me

Send you back home with a light that's beamin'

The whole team 'bout to figure it out

We ice cold, that's what winter about

And sometimes, sometimes I wish I took a simpler route

Instead of havin' demons that's as big as my house, mhmm

Have a ball with a dribble and bounce

'Cause the party ain't over 'til they're kickin' me out, yeah

Isn't it funny? We can make a lot of money

Buy a lot of things just to feel a lot of ugly

I was yea high and muddy

Lookin' for what was lookin' for me

But I don't need to lie no more

Nowadays all I do is shine, take a breath and ease my mind, and

She don't cry no more

She tell me that I get her high 'cause an angel's s'posed to fly, and...

I ain't askin' ""Why?"" no more

Oh, no, I take it if it's mine, I don't stay inside the lines

It ain't 2009 no more

Yeah, I know what's behind that door

Yeah, they ask me what I'm smilin' for

Well, because I've never been this high before

It's like I never felt alive before

Mhmm, I'd rather have me peace of mind than war

See me and you, we ain't that different

I struck the fuck out and then I came back swingin'

Take my time to finish, mind my business

A life ain't a life 'til you live it, I was diggin' me a hole

Big enough to bury my soul

Weight of the world, I gotta carry my own

My own, with these arms I can carry you home

I'm right here when you scared and alone, and I ain't never in a hurry

You don't ever gotta worry

Even when it's 7:30 and the time is runnin' low

When your heart get cold

See what's behind all them unturned stones

And I'm a pro when it come to my job

But really I'm just tryna start believin' in God

Now when it gets hard

I don't panic, I don't sound the alarm

Because I don't need to lie no more

Nowadays all I do is shine, take a breath and ease my mind, and

She don't cry no more

She tell me that I get her high 'cause an angel's s'posed to fly, and...

I ain't askin' ""Why?"" no more

Oh, no, I take it if it's mine, I don't stay inside the lines

It ain't 2009 no more

Yeah, I know what's behind that door

I don't need to lie no more

Nowadays all I do is shine, take a breath and ease my mind, and

She don't cry no more

She tell me that I get her high 'cause an angel's s'posed to fly, and...

I ain't askin' ""Why?"" no more

Oh, no, I take it if it's mine, I don't stay inside the lines

It ain't 2009 no more

Yeah, I know what's behind that door"
5,55,https://genius.com/Mac-miller-55-lyrics,Faces,True,
6,5 O’Clock,https://genius.com/Mac-miller-5-oclock-lyrics,The High Life,True,"Somebody told me sleep was a cousin of death

And following a dollar finds nothing but stress

A marathon grind like I'm running from rest

It's 

Somebody told me sleep was a cousin of death

And following a dollar finds nothing but stress

But I'm going hard 'till there's nothing left under my chest

The streets empty 'round 5 o'clock

Driving by the cops

Low key microscopic to the eyes that watch

Everything a hustle when you trying come buy some guap

I'm a keep grinding 'till I'm shining like a diamond watch

Me and bo-head bringing you the truth

With all night sessions we just living in the booth

Strong bars like we spitting out 150 proof

Take shots, get loose, 'till you spitting up yo' food 

You see that? I'm a need a recap

Grab a weed sack chief that 'till my feet flat

I got this covered like a pro bowl d-back

Breathe rap and I been known to make the beat clap

Need cash so I'm trying to move some trees fast

Tell you where the meat at

Ask you where the cheese at

People 'round the city see the youngin' and respect the grind

Putting in the extra time

Guaranteed next to shine

Somebody told me sleep was a cousin of death

And following a dollar finds nothing but stress

A marathon grind like I'm running from rest

It's 

Somebody told me sleep was a cousin of death

And following a dollar finds nothing but stress

But I'm going hard 'till there's nothing left under my chest

I rise before the sun come up and get my day started

Pray to the most high, I roll up my haze and spark it

And then my paper starts to roll in

Money in paper bags

Hammers with laser tags

We grown men

Out on the corner 'till the early morn'

The blood of a hustler getting mines before I was born

You get stormed by these hot ass bars

From me and Easy Mac

Crusin' in the 'Lac smoking weed with no seeds in that

There ain't no reason that these other rappers hatin' on us 

Except these labels anticipating and waiting on us

They get the BBS's, radios play us

Then we blaze in the Benz's

And sit this off on BBS's

And from P.A to Texas

These niggas know about me

International hustler can't move no snow without me

Or get no dough without me

Niggas getting they stacking on

Early bird get the worm

I'm out here at the crack of dawn

Somebody told me sleep was a cousin of death

And following a dollar finds nothing but stress

A marathon grind like I'm running from rest

It's 

Somebody told me sleep was a cousin of death

And following a dollar finds nothing but stress

But I'm going hard 'till there's nothing left under my chest"
8,Aliens Fighting Robots,https://genius.com/Mac-miller-aliens-fighting-robots-lyrics,Macadelic,True,"Y'all is dead weight, less great, always getting second place

I tend to race ahead of pace, dipping while I'm dressed in Bape

Then they chase, catch me if you can, I ain't Dicaprio

This lucid dream will have you go like half a dose of Adderall

Capicola sandwiches are tasty from Primanti's

I'm a 5'7"" giant, Brandon Jacobs, Eli Manning

Girls want makeup, get demanding, but they fake like orange tanning

So my girl and I be up like we some college students cramming

For a test that we ain't study for, wonder will she love me more

With money, cause if not, I'm not sure what all this money for

Feeling like a hundred wars are going on currently

Soldiers sent to death on some jets for the currency

Poison, take this mercury, I'll teach you for a learner's fee

How to turn your girlfriend to a circus freak

Cool by the word of Keith, fabric by the hand of Zeus

Acting like you fucking with me, that's some shit I can't excuse

Focus is on manual, control the panoramic view, universe

You got a chance, don't blow it like how a tuba works

I plan to do, something that ain't tangible

Now I'm 'bout to hand it to the homie Michael Rocks, hear what he saying to you

Take a trip, took a molly out with Banco Populari

The word around the city is he sit in a Ferrari

I told myself I wouldn't get it, I'm sorry

That's my bad, I party 'til my cardies get foggy

Can't keep her hands off of me, got her lock, then lost the key

Weed smoke, make it hard to see, we go harder than the Carter one

Excuse me baby pardon me, can you fuck me like the honeymoon?

Not saying it's coming soon, but I want the real show

Get me the treatment that you getting all the heels for

The shit they paying all the bills for

Man, I missed it, that cake taste delicious

They can't wait for vacations, paid for, by pictures

I'm feeling good, I'm peeling bills, I'm real as hell

I don't front, I roll blunts and papers

I don't fuck with fakers, your girl is asking me if I'mma take her

I'm straight though, you see, I'm booked up 'til April

That's mine, that's me, I take those, you tryna see some pesos

Then shake though, you get exactly what you pay for

Stop acting like you can't go, you swagging to the ankles

I feel you baby, hopefully I look familiar maybe

Falling down the same rabbit hole looking for love

But you will never ever get it because

It seem like it only happen when I'm holding the drugs

And you can never ever see her because

Life a cliche, it ain't a bad one

First the plane land, and then the bags come

We walking on this planet seeking action

Break a girl's heart, sorry Miss Jackson

Falling down the same rabbit hole looking for love

But you will never ever get it because

It seem like it only happen when I'm holding the drugs

And you can never ever see her because

And it don't stop 'til the aliens fight the robots

And all the ladies take their clothes off

I'm here with Mikey and we gon' rock

This some shit you won't top

And it don't stop 'til the aliens fight the robots

And all the ladies take their clothes off

I'm here with Mikey and we gon' rock

This some shit you won't top

I'm so high, won't you think about that babe

On some other shit that tend to make me act crazy

15 thousand, blow it on clothes

6 in the morning, still sitting here throwed

I'm buggin' out, buggin' out, I wonder if they know

Pull up to her house and I wonder if she home

Buggin' out, buggin' out, I wonder if they know

Pull up to her house and I wonder if she home"
9,All Around The World,https://genius.com/Mac-miller-all-around-the-world-lyrics,Best Day Ever,True,"I got my cup filled up, we came to have a good time so turn my music high we gonna tear this place up

Warn the neighbors it’s a party, so go tell everybody

We party all around the world

We party all around the world

We party all around the world

We party all around the world

I got my cup filled, bitches all around me on some bachelor shit

Eyes half closed, heavy like they was attached to bricks

Around the world I use my atlas make a map of it

Globe trotter, ho hopper, superstar asterik

People always wonder so they ask us who we are

Rolling up to clubs when we too young to hit the bar

Wanna be on top and tryna to get there by tomorrow

See the money, bitches, bubbly, designer clothes, foreign cars

But I ain’t never gonna change

Different city everyday

You hear these people scream my name

They think I’m underage

They don’t know shit about the game

Till I’m drunk as fuck, on the couch, pouring out champagne

Living life like it’s my job, and I don’t ever take a day off

Shit ain’t been the same since I seen my music take off

I be on some “I don’t give a fuck” shit

Still with my homies I came up with so celebrate the fact that we young, rich, and famous

I got my cup filled up, we came to have a good time so turn my music high we gonna tear this place up

Warn the neighbors it’s a party, so go tell everybody

We party all around the world

We party all around the world

We party all around the world

We party all around the world

Hey, go Europe to Japan, then Mexico to France

Bitches of every nationality get up and dance

So, let me see your hands please

We makin’ noise like a stampede

So much smoke up in this bitch you can’t breathe

Somewhere where it’s sandy, Cali or Miami

This the only way to do never made a plan B

Can’t we, get it how we live

Tonight ain't the night to chill, tonight we do it big

Girls, comin’ all dressed up and they takin’ off their clothes

We know your man an ameteur so come party with some pros

You need something new, I know your life is gettin’ old

We ain’t gettin’ younger so tonight's the night to go

So, crazy, treat it like your last night

Even if you broke, spend tonight like you cash right

It’s the fast life, don’t worry baby we ain’t here to slow it down

Tonight we goin’ crazy and tomorra’ you can hold me down

I got my cup filled up, we came to have a good time so turn my music high we gonna tear this place up

Warn the neighbors it’s a party, so go tell everybody

We party all around the world

We party all around the world

We party all around the world

We party all around the world"
10,All I Want Is You,https://genius.com/Mac-miller-all-i-want-is-you-lyrics,K.I.D.S,True,"Girl, I don't wanna share you

We could be together, but you scared to

I ain't gonna leave you

My peoples tell me that should, but I need you

And when I blow I hope you know

That I could have any girl I choose

But I know as time goes by, baby all I'm gonna want is you

Look, they told me never fall in love, it never works out in your favor

You way too young and right now that's just human nature

You think you love her, but you don't

Think you gon be with her for the rest of your life, you prolly won't

But on my side, shorty just attacked me from the blindside

Used to be a player now I'm sidelined

Connect like Wi-fi, mixed like tye-dye

She feelin' cute wanna wear a little lingerie, voila

It ain't a sexual thing though

We be stayin' up smokin' weed out her window

In love with me now, she never huntin' me down

I'm tryna have it all, she ain't comin' around

It's like a never endin' chase, longer than a marathon

See the smile on her face, and I can't help but carry on

I know you love me don't lie , but you just gotta be mine

Cause

Girl, I don't wanna share you

We could be together, but you scared to

I ain't gonna leave you

My peoples tell me that should, but I need you

And when I blow I hope you know

That I could have any girl I choose

But I know as time goes by, baby all I'm gonna want is you

Look, I know this girl who want the world to call her own

Goin' through these dudes like some minutes on a phone

And once she leave, she ain't comin' back home

Hit the road forgettin' about everybody she know

Miss hasn't called me in four days

But then we hit the bed and she obsessed with foreplay

Hey, she tryna be a lil' player, think she cute too

But I'mma yank her out the game like a loose tooth

When the boy blow, I know she worried

About all these girls who approach me actin' flirty

See that's the thing thing, I don't give a fuck

I want your heart so baby give it up

In this life girl, all we can do is try

Forget that dumb stuff, it's just you and I

We can travel 'round the world movin' through the sky

Or we can stay right here and you'll be mine

Girl, I don't wanna share you

We could be together, but you scared to

I ain't gonna leave you

My peoples tell me that should, but I need you

And when I blow I hope you know

That I could have any girl I choose

But I know as time goes by, baby all I'm gonna want is you"
11,All That,https://genius.com/Mac-miller-all-that-lyrics,"I Love Life, Thank You",True,"The people think it's all about the fame

And the money and the status and the game

But it's deeper than all that

They just want the women and the cars

Getting high so they can chill with some stars

But it's deeper than all that

They thinking that it's all about the shows

And the chains hanging down on your clothes

But it's deeper than all that

We're here to change the world with this thing called rap

Homie, believe me, it's all that

I got that money on my mind, the grind

And the ability, the knowledge and the know-how

Stamina and agility

Soon as I step in the facility these haters start

Testing my civility, I'm telling you

They killing me. Some of them feeling me

And some of them be grilling me but

I just blow my kush smoke up to the ceiling G

Yeah, and take a toke of the Swisher smoke

They got the paint and the brush, but not the picture, loc

What is an emcee if he can't rap?

Just a monkey with a mic just waiting to get slapped

What is a DJ if he can't scratch?

The one rotten apple that's spoling the whole bag

What is a B-Boy if he can't break?

Might as well do the Dougie or even the Harlem Shake

And what is a graffiti artist if he don't tag?

No homophobia, but he's a fag

Cause it's deeper than all that..

The people think it's all about the fame

And the money and the status and the game

But it's deeper than all that

They just want the women and the cars

Getting high so they can chill with some stars

But it's deeper than all that

They thinking that it's all about the shows

And the chains hanging down on your clothes

But it's deeper than all that

We're here to change the world with this thing called rap

Homie, believe me, it's all that

One time for the world cause we do it for y'all

That logo light up in the sky when the studio call

Moving the crowd, get em loud without a gimmick

Spit with a golden ticket, I'm whipping it up in minutes

My feet up in this game

Rapping even made a divot

Don't worry about the critics

If it's happening now, forget it

For my heart is where I give it

Stay thinking about the future

When I'm rich, I'mma call my mom before I call the movers

These haters are just losers

Hate to see you winning

Gave my all from the beginning

I'm in it for extra innings

Here to change the world like a change clothes

Wouldn't mind a little bankroll, pesos

But I""m right here for way more

What is somebody if they can't love?

A hater.. someone give em a hug

We here to change the world with this thing called rap

And homie, believing is all that..

The people think it's all about the fame

And the money and the status and the game

But it's deeper than all that

They just want the women and the cars

Getting high so they can chill with some stars

But it's deeper than all that

They thinking that it's all about the shows

And the chains hanging down on your clothes

But it's deeper than all that

We're here to change the world with this thing called rap

Homie, believe me, it's all that"
13,All This,https://genius.com/Mac-miller-all-this-lyrics,"I Love Life, Thank You",True,"We spending all this money

Getting all this shine

Hitting all this cuddi

Spending all this time

I'm feeling better than ever before

This my life for better or for

All this money

Getting all this shine

And its all so funny

Cause its all just fine

Im feeling better than ever before

This my life for better or for worse

I'm looking out the window

The kid stayin' lit like a Zippo

You hatin' I don’t trip bro

It's gravy cause your bitch know

Cup of henni, I sip slow

The spins, yo

Hit the stage to bust a rhyme call me Flipmode

This, that the other rhymer make it happen

Travel all around the country in a station wagon

Take it back, you reminisce on all your favorite classics

My words play more than madlibs

I got plenty lyrics

They got plenty adlibs

Want a holy spirit

My fathers on some rap shit

Listening to Tribe, getting high puffin loud

See some people ridin by

Come outside say what up

I ain't nothing like a star

I’m chilling, layin back

Travel all around the whole world

Enjoying everwhere I'm at

Meeting different people

Eating different food

No one like a gourmet meal

More than Que

We spending all this money

Getting all this shine

Hitting all this cuddi

Spending all this time

I'm feeling better than ever before

This my life for better or for

All this money

Getting all this shine

And its all so funny

Cause its all just fine

Im feeling better than ever before

This my life for better or for worse

They actin like they jealous

Everybody be thinkin’ that they was cool

Getting money since my mommy was dropping me off at school

Now I got a whip to cruise in

You the Pirates so you losin’

Im in the news, you let them bring your news in

I bowl strikes you always leavin a few pins

I do me you keeping up with them new trends

I got fam you worried about makin new friends

Im in my PJs you had to wear your suit in

Thinkin without doing, where, how, why me

Relax myself kick it like Tai Chi

You could find me, only where I’m at

There ain't no other Mes

They be checkin on my stats

How Cat I find them up in a tree

Homie be spittin bars they ain't fuckin with me

Im just turning up the heat to 100 degrees

Spittin like I got a razor blade stuck in my teeth

We spending all this money

Getting all this shine

Hitting all this cuddi

Spending all this time

I'm feeling better than ever before

This my life for better or for

All this money

Getting all this shine

And its all so funny

Cause its all just fine

Im feeling better than ever before

This my life for better or for worse"
